Source,Name,Home City,House,Race,Gender,Class,RefID,BaseID,Primary Skills,Morality,Aggression,Faction(s),Class Details,Essential,Location,Training,Merchant,Gold,Sells,Buys,Race Details,Follower,Respawns,Store,AdoptHF,Protected,Perks,Marry,StewardHF,Horses,Added by,Level ,Health ,Magicka,Stamina 
https://en.uesp.net/wiki/Skyrim:Beitild,Beitild,Dawnstar,Beitild's House,Nord,Female,Miner,0001A6B6,13612,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIronBreakerMinersFaction; FavorExcludedFaction; FavorJobsMineOreFaction; JobMinerFaction; TownDawnstarFaction,None,No,None,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Brina_Merilis,Brina Merilis,Dawnstar,Brina's House,Nord,Female,Warrior,0001A6B8,0001A6B7,"Heavy Armor, One-handed, Archery, Block",No Crime,Unaggressive,CrimeFactionPale; DawnstarBrinaHouseFaction; Favor256QuestGiverFaction; Imperial Government; TownDawnstarFaction,CombatWarrior1H,Yes,None,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,10,155.3,50,79.7
https://en.uesp.net/wiki/Skyrim:Horik_Halfhand,Horik Halfhand,Dawnstar,Brina's House,Nord,Male,Warrior,0001A6BA,0001A6B9,"Heavy Armor, One-handed, Archery, Block",No Crime,Unaggressive,CrimeFactionPale; DawnstarBrinaHouseFaction; Imperial Government; TownDawnstarFaction,CombatWarrior1H,Yes,None,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,10,155.3,50,79.7
https://en.uesp.net/wiki/Skyrim:Dawnstar_Guard,Dawnstar Guard,None,None,Nord,Male,Warrior,N/A,0002D794,None,Indeterminate,Indeterminate,CrimeFactionPale; Stormcloaks; Sons of Skyrim; NPC faction; Guard Faction; Dialogue Faction for Dawnstar Guards; GuardFaction,None,No,Dawnstar,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,20,0,0,0
https://en.uesp.net/wiki/Skyrim:Babette,Babette,None,None,Breton,Female,Assassin,0001D4BC,0001D4B7,"Archery, One-handed, Sneak, Conjuration, Light Armor",No Crime,Unaggressive,Alchemy Trainer; Babette's Bed Ownership; Babette's Dark Brotherhood Services; The Dark Brotherhood; FavorExcludedFaction; JobApothecaryFaction; JobMerchantFaction; JobMiscFaction; Skill Trainer,TrainerAlchemyMaster,Yes,"Dark Brotherhood Sanctuary, Dawnstar Sanctuary",Alchemy (Master),TRUE,500 (+1000 Master Trader),See Standard Merchandise,"Animal Parts, Food, Ingredients, Poisons, Potions, Raw Food, Recipes, Tools","Vampire, Undead, Child",No,No,None,No,No,None,No,No,None,Vanilla,10,125,15,95
https://en.uesp.net/wiki/Skyrim:Cicero,Cicero,None,None,Imperial,Male,Assassin,0009BCB0,0009BCAF,"One-handed, Sneak, Archery, Light Armor",Any Crime,Aggressive,The Dark Brotherhood; FavorExcludedFaction,CombatAssassin,"Yes, except during The Cure for Madness","Loreius Farm, Dark Brotherhood Sanctuary, Dawnstar Sanctuary",None,FALSE,0,None,None,NaN,Yes,No,None,No,No,None,No,No,None,Vanilla,15,412.5,102.5,207.5
https://en.uesp.net/wiki/Skyrim:Dark_Brotherhood_Initiate,Dark Brotherhood Initiate,None,None,Nord,Male,Assassin,00015D07,00015CFA,"One-handed, Sneak, Archery, Light Armor",Any Crime,Aggressive,The Dark Brotherhood; FavorExcludedFaction,None,Yes,Dawnstar Sanctuary,None,FALSE,0,None,None,NaN,No,Yes,None,No,No,None,No,No,None,Vanilla,10,550,140,320
https://en.uesp.net/wiki/Skyrim:Nazir,Nazir,None,None,Redguard,Male,Assassin,0001C3AD,0001C3AB,"Light Armor, One-handed, Sneak, Archery",No Crime,Aggressive,The Dark Brotherhood; FavorExcludedFaction; Light Armor Trainer; Skill Trainer,TrainerLightArmorMaster,Yes,"Dark Brotherhood Sanctuary, Dawnstar Sanctuary",Light Armor (Master),FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,10,224.7,65.3,95
https://en.uesp.net/wiki/Skyrim:Fruki,Fruki,Dawnstar,Fruki's House,Nord,Female,Miner,0001A6C5,13615,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarFrukisHouseFaction; JobMinerFaction; TownDawnstarFaction,None,No,None,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Irgnir,Irgnir,Dawnstar,Irgnir's House,Nord,Female,Miner,0001A6BB,13617,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIrgnirsHouseFaction; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,None,No,None,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Bodil,Bodil,Dawnstar,None,Nord,Female,Miner,000876DD,000876DC,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,None,No,Iron-Breaker Mine,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Gjak,Gjak,Dawnstar,None,Nord,Male,Miner,000876DB,000876DA,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,None,No,Iron-Breaker Mine,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Karl,Karl,Dawnstar,None,Nord,Male,Miner,0001A6BC,13619,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIronBreakerMinersFaction; FavorJobsDrunksFaction; JobMinerFaction; TownDawnstarFaction,None,No,Iron-Breaker Mine,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Leigelf,Leigelf,Dawnstar,Leigelf's House,Nord,Male,Miner,0001A6BD,0001361B,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarQuicksilverMinerFaction; FavorJobsMineOreFaction; JobMinerFaction; TownDawnstarFaction,None,No,None,None,FALSE,0,None,None,NaN,No,No,None,No,No,None,No,No,None,Vanilla,6,91,67,67
